combo_id,param.n_sessions,param.full_history,param.inline_style,seed,level,run_idx,stat.agg_tok_total.count,stat.agg_tok_total.mean,stat.agg_tok_total.min,stat.agg_tok_total.max,stat.agg_tok_total.stddev,stat.agg_tok_total.variance,stat.agg_tok_prompt.count,stat.agg_tok_prompt.mean,stat.agg_tok_prompt.min,stat.agg_tok_prompt.max,stat.agg_tok_prompt.stddev,stat.agg_tok_prompt.variance,stat.agg_tok_completion.count,stat.agg_tok_completion.mean,stat.agg_tok_completion.min,stat.agg_tok_completion.max,stat.agg_tok_completion.stddev,stat.agg_tok_completion.variance,stat.agg_da_load.count,stat.agg_da_load.mean,stat.agg_da_load.min,stat.agg_da_load.max,stat.agg_da_load.stddev,stat.agg_da_load.variance,stat.agg_lessons_archived.count,stat.agg_lessons_archived.mean,stat.agg_lessons_archived.min,stat.agg_lessons_archived.max,stat.agg_lessons_archived.stddev,stat.agg_lessons_archived.variance,assert.Gate:0,place.Gate.P_gen,place.Gate.P_proceed,place.Gate.P_revise_sink,place.Gate.P_blocked,status
0,5,0,0,,summary,,300,25457.254548,24650.000000,25850.000000,100.027396,10005.479854,300,14650.000000,14650.000000,14650.000000,0.000000,0.000000,300,10807.254548,10000.000000,11200.000000,100.027396,10005.479854,300,5.403627,5.000000,5.600000,0.050014,0.002501,300,4.896915,4.750000,5.000000,0.018117,0.000328,pass,0,0,1,0,ok
1,5,0,1,,summary,,300,33562.695459,32150.000000,34250.000000,175.047942,30641.782053,300,14650.000000,14650.000000,14650.000000,0.000000,0.000000,300,18912.695459,17500.000000,19600.000000,175.047942,30641.782053,300,5.403627,5.000000,5.600000,0.050014,0.002501,300,4.896915,4.750000,5.000000,0.018117,0.000328,pass,0,0,1,0,ok
2,5,1,0,,summary,,300,24307.254548,23500.000000,24700.000000,100.027396,10005.479854,300,13500.000000,13500.000000,13500.000000,0.000000,0.000000,300,10807.254548,10000.000000,11200.000000,100.027396,10005.479854,300,5.403627,5.000000,5.600000,0.050014,0.002501,300,4.896915,4.750000,5.000000,0.018117,0.000328,pass,0,0,1,0,ok
3,5,1,1,,summary,,300,32412.695459,31000.000000,33100.000000,175.047942,30641.782053,300,13500.000000,13500.000000,13500.000000,0.000000,0.000000,300,18912.695459,17500.000000,19600.000000,175.047942,30641.782053,300,5.403627,5.000000,5.600000,0.050014,0.002501,300,4.896915,4.750000,5.000000,0.018117,0.000328,pass,0,0,1,0,ok
4,10,0,0,,summary,,300,52919.150649,51400.000000,53068.789809,200.134831,40053.950537,300,31400.000000,31400.000000,31400.000000,0.000000,0.000000,300,21519.150649,20000.000000,21668.789809,200.134831,40053.950537,300,10.759575,10.000000,10.834395,0.100067,0.010013,300,9.758054,9.692308,10.000000,0.031099,0.000967,pass,0,0,1,0,ok
5,10,0,1,,summary,,300,69058.513636,66400.000000,69320.382166,350.235954,122665.223521,300,31400.000000,31400.000000,31400.000000,0.000000,0.000000,300,37658.513636,35000.000000,37920.382166,350.235954,122665.223521,300,10.759575,10.000000,10.834395,0.100067,0.010013,300,9.758054,9.692308,10.000000,0.031099,0.000967,pass,0,0,1,0,ok
6,10,1,0,,summary,,300,57269.150649,55750.000000,57418.789809,200.134831,40053.950537,300,35750.000000,35750.000000,35750.000000,0.000000,0.000000,300,21519.150649,20000.000000,21668.789809,200.134831,40053.950537,300,10.759575,10.000000,10.834395,0.100067,0.010013,300,9.758054,9.692308,10.000000,0.031099,0.000967,pass,0,0,1,0,ok
7,10,1,1,,summary,,300,73408.513636,70750.000000,73670.382166,350.235954,122665.223521,300,35750.000000,35750.000000,35750.000000,0.000000,0.000000,300,37658.513636,35000.000000,37920.382166,350.235954,122665.223521,300,10.759575,10.000000,10.834395,0.100067,0.010013,300,9.758054,9.692308,10.000000,0.031099,0.000967,pass,0,0,1,0,ok
8,20,0,0,,summary,,300,107899.349060,105900.000000,108118.637993,287.407440,82603.036750,300,64900.000000,64900.000000,64900.000000,0.000000,0.000000,300,42999.349060,41000.000000,43218.637993,287.407440,82603.036750,300,21.499675,20.500000,21.609319,0.143704,0.020651,300,19.517518,19.000000,19.666667,0.045974,0.002114,pass,0,0,1,0,ok
9,20,0,1,,summary,,300,140148.860855,136650.000000,140532.616487,502.963021,252971.800048,300,64900.000000,64900.000000,64900.000000,0.000000,0.000000,300,75248.860855,71750.000000,75632.616487,502.963021,252971.800048,300,21.499675,20.500000,21.609319,0.143704,0.020651,300,19.517518,19.000000,19.666667,0.045974,0.002114,pass,0,0,1,0,ok
